Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Gi6/13,100000000,used,up,2022-03-23 02:41,A322/D.433 ###39505,
KAd-A002-vfswb,Gi6/14,10000000,used,up,2022-05-05 05:47,A322/D.434 ###39505,
KAd-A002-vfswb,Gi6/15,1000000000,free,down,2022-04-30 10:20,A322/D.435 ###39505,
KAd-A002-vfswb,Gi6/16,1000000000,free,down,2017-05-19 13:57,A322/D.436 ###39505,
KAd-A002-vfswb,Gi6/17,1000000000,free,down,2022-05-10 12:53,A322A/D.437 ###39505,
KAd-A002-vfswb,Gi6/18,1000000000,used,up,2021-10-12 06:05,A322A/D.438 ###39505,
KAd-A002-vfswb,Gi6/19,1000000000,used,up,2021-05-25 03:51,A322B/D.439 ###39505,
KAd-A002-vfswb,Gi6/20,1000000000,free,down,2021-08-02 08:08,A322B/D.440 ###39505,
KAd-A002-vfswb,Gi6/21,10000000,used,up,2022-06-27 09:07,A322C/D.441 ###39505,
KAd-A002-vfswb,Gi6/22,1000000000,free,down,2021-10-03 17:37,AL103/D.526 ###39505,
KAd-A002-vfswb,Gi6/23,100000000,used,up,2020-08-05 13:46,AL103/D.528 ###39505,
KAd-A002-vfswb,Gi6/24,1000000000,free,down,2021-07-26 16:26,A322D/D.444 ###39505,
KAd-A002-vfswb,Gi6/25,1000000000,free,down,2017-05-08 16:27,A308/D.421 ###39505,
KAd-A002-vfswb,Gi6/26,1000000000,free,down,2017-04-20 14:46,A308/D.422 ###39505,
KAd-A002-vfswb,Gi6/27,1000000000,free,down,2017-02-09 09:17,A322/D.423 ###39505,
KAd-A002-vfswb,Gi6/28,1000000000,free,down,2021-10-11 09:49,A322/D.424 ###39505,
KAd-A002-vfswb,Gi6/29,1000000000,used,up,2021-08-09 14:29,A322N/D.425 ###39505,
KAd-A002-vfswb,Gi6/30,1000000000,free,down,2015-12-01 13:07,A322N/D.426 ###39505,
KAd-A002-vfswb,Gi6/31,1000000000,free,down,2022-06-23 16:37,A322N/D.427 ###39505,
KAd-A002-vfswb,Gi6/32,1000000000,free,down,2015-12-01 13:07,A322N/D.428 ###39505,
KAd-A002-vfswb,Gi6/33,1000000000,used,up,2022-06-09 08:13,Rm 308 D.529 ###39505,
KAd-A002-vfswb,Gi6/34,1000000000,free,down,2015-12-01 13:07,Rm 308 D.530 ###39505,
KAd-A002-vfswb,Gi6/35,1000000000,used,down,2022-06-28 07:43,A322M/D.431 ###39505,
KAd-A002-vfswb,Gi6/36,1000000000,free,down,2015-12-01 13:07,A322M/D.432 ###39505,
KAd-A002-vfswb,Gi6/37,1000000000,free,down,2022-05-17 16:07,A322E/D.445 ###39505,
KAd-A002-vfswb,Gi6/38,1000000000,free,down,2015-12-01 13:07,A322E/D.446 ###39505,
KAd-A002-vfswb,Gi6/39,1000000000,free,down,2022-06-10 16:52,A322F/D.447 ###39505,
KAd-A002-vfswb,Gi6/40,1000000000,free,down,2015-12-01 13:07,A322F/D.448 ###39505,
KAd-A002-vfswb,Gi6/41,1000000000,free,down,2020-03-12 20:56,A322G/D.449 ###39505,
KAd-A002-vfswb,Gi6/42,1000000000,free,down,2015-12-01 13:07,A322G/D.450 ###39505,
KAd-A002-vfswb,Gi6/43,1000000000,free,down,2022-06-27 08:44,A322H/D.451 ###39505,
KAd-A002-vfswb,Gi6/44,1000000000,free,down,2021-09-29 12:44,A322H/D.452 ###39505,
KAd-A002-vfswb,Gi6/45,1000000000,free,down,2020-09-04 14:44,A322J/D.453 ###39505,
KAd-A002-vfswb,Gi6/46,1000000000,free,down,2015-12-01 13:07,A322J/D.454 ###39505,
KAd-A002-vfswb,Gi6/47,1000000000,free,down,2021-08-19 16:17,A322K/D.455 ###39505,
KAd-A002-vfswb,Gi6/48,1000000000,free,down,2015-12-01 13:07,A322K/D.456 ###39505,
KAd-A002-vfswb,Nu0,10000000000,used,up,2015-12-01 13:07,,
KAd-A002-vfswb,Te1/1,10000000000,free,down,2015-12-01 13:07,###39015,
KAd-A002-vfswb,Te1/2,10000000000,used,up,2017-10-14 08:25,mbrKAd-A02B (Te1/0/36),
KAd-A002-vfswb,Vl1,100000000000,used,up,2015-12-01 13:07,,
KAd-A002-vfswb,Vl500,100000000000,used,up,2015-12-01 13:07,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
